"File","Pattern","Severity","MatchCount"
"app\app\api\admin\bugs\route.ts","Unsafe type casting","high","2"
"app\app\api\admin\bugs\route.ts","Unsafe type casting","high","2"
"app\app\api\airdrop\route.ts","Unsafe type casting","high","4"
"app\app\api\airdrop\route.ts","Unsafe type casting","high","4"
"app\app\api\airdrop\route.ts","Unsafe type casting","high","4"
"app\app\api\airdrop\route.ts","Unsafe type casting","high","4"
"app\app\api\applications\route.ts","Unsafe type casting","high","2"
"app\app\api\applications\route.ts","Unsafe type casting","high","2"
"app\app\api\auto-fund\route.ts","Unsafe type casting","high","1"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-airdrop\route.ts","Unsafe type casting","high","12"
"app\app\api\devnet-mint-token\route.ts","Unsafe type casting","high","5"
"app\app\api\devnet-mint-token\route.ts","Unsafe type casting","high","5"
"app\app\api\devnet-mint-token\route.ts","Unsafe type casting","high","5"
"app\app\api\devnet-mint-token\route.ts","Unsafe type casting","high","5"
"app\app\api\devnet-mint-token\route.ts","Unsafe type casting","high","5"
"app\app\api\devnet-mirror-mint\route.ts","Unsafe type casting","high","4"
"app\app\api\devnet-mirror-mint\route.ts","Unsafe type casting","high","4"
"app\app\api\devnet-mirror-mint\route.ts","Unsafe type casting","high","4"
"app\app\api\devnet-mirror-mint\route.ts","Unsafe type casting","high","4"
"app\app\api\devnet-pre-fund\route.ts","Unsafe type casting","high","2"
"app\app\api\devnet-pre-fund\route.ts","Unsafe type casting","high","2"
"app\app\api\devnet-register-mint\route.ts","Unsafe type casting","high","1"
"app\app\api\faucet\route.ts","Unsafe type casting","high","2"
"app\app\api\faucet\route.ts","Unsafe type casting","high","2"
"app\app\api\ideas\route.ts","Unsafe type casting","high","2"
"app\app\api\ideas\route.ts","Unsafe type casting","high","2"
"app\app\api\markets\route.ts","Unsafe type casting","high","1"
"app\app\api\oracle\set-price-cap\route.ts","Unsafe type casting","high","1"
"app\app\api\oracle-keeper\register\route.ts","Unsafe type casting","high","1"
"app\app\api\prices\route.ts","Unsafe type casting","high","1"
"app\app\api\stake\pools\route.ts","Unsafe type casting","high","1"
